name,firstGame,city,recentPayout,sponsor,start,end
Rose Bowl,1902,"Pasadena, CA",4000000,Northwestern Mutual,2015,2020
Rose Bowl,1902,"Pasadena, CA",4000000,Vizio,2011,2014
Rose Bowl,1902,"Pasadena, CA",4000000,Citi,2004,2010
Rose Bowl,1902,"Pasadena, CA",4000000,Sony/PlayStation 2,2003,2003
Rose Bowl,1902,"Pasadena, CA",4000000,AT&T,1999,2002
Rose Bowl,1902,"Pasadena, CA",4000000,Pasadena Tournament of Roses Association,1916,1998
Rose Bowl,1902,"Pasadena, CA",4000000,Pasadena Tournament of Roses Association,1902,1902
Orange Bowl,1935,"Miami Gardens, FL",6000000,Capital One,2014,2019
Orange Bowl,1935,"Miami Gardens, FL",6000000,Discover Financial,2011,2014
Orange Bowl,1935,"Miami Gardens, FL",6000000,FedEx,1989,2010
Sugar Bowl,1935,"New Orleans, LA",4000000,Allstate,2007,2019
Sugar Bowl,1935,"New Orleans, LA",4000000,Nokia,1996,2006
Sugar Bowl,1935,"New Orleans, LA",4000000,USF&G Financial Services,1988,1995
Cotton Bowl Classic,1937,"Arlington, TX",6000000,Goodyear,2014,2019
Cotton Bowl Classic,1937,"Arlington, TX",6000000,Southwestern Bell Corporation/SBC Communications/AT&T,1997,2014
Cotton Bowl Classic,1937,"Arlington, TX",6000000,Mobil,1989,1995
Peach Bowl,1968,"Atlanta, GA",4000000,Chick-fil-A,1997,2019
Fiesta Bowl,1971,"Glendale, AZ",4000000,PlayStation,2016,2019
Fiesta Bowl,1971,"Glendale, AZ",4000000,BattleFrog,2016,2016
Fiesta Bowl,1971,"Glendale, AZ",4000000,Vizio,2014,2014
Fiesta Bowl,1971,"Glendale, AZ",4000000,Tostitos,1996,2014
Fiesta Bowl,1971,"Glendale, AZ",4000000,Sunkist,1986,1990
Sun Bowl,1935,"El Paso, TX",3447568,Kellogg's,2019,2019
Sun Bowl,1935,"El Paso, TX",3447568,Hyundai,2010,2018
Sun Bowl,1935,"El Paso, TX",3447568,Helen of Troy Limited,2004,2009
Sun Bowl,1935,"El Paso, TX",3447568,Wells Fargo,1999,2003
Sun Bowl,1935,"El Paso, TX",3447568,Norwest Corporation,1996,1998
Sun Bowl,1935,"El Paso, TX",3447568,John Hancock,1987,1993
Gator Bowl,1945,"Jacksonville, FL",3168292,TaxSlayer,2012,2019
Gator Bowl,1945,"Jacksonville, FL",3168292,Progressive Insurance,2011,2011
Gator Bowl,1945,"Jacksonville, FL",3168292,Konica Minolta,2008,2010
